metric;story;roi;max_corr;mean_corr;n_voxels;vox_gt_0.1;vox_gt_0.2;vox_gt_0.3
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;Temporal_Pole_R.nii;0.11786825039851592;-0.001089365;1333;3;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;Temporal_Pole_L.nii;0.11786825039851592;-0.001089365;1333;3;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;das_manuskript_in_der_flasche;Paracingulate_gyrus.nii;0.11748001639980309;-0.014080295;809;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;Temporal_Pole_R.nii;0.11706048856354757;0.003208838;1333;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;Temporal_Pole_L.nii;0.11706048856354757;0.003208838;1333;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;das_manuskript_in_der_flasche;SMA.nii;0.11609339634255116;0.010093958;322;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;Precuenus_cortex.nii;0.11559631657695436;-0.00274504;1413;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;post_Sup_Temporal_gyrus_L.nii;0.11522314255743256;0.024373802651889702;242;4;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;post_Sup_Temporal_gyrus_R.nii;0.11522314255743256;0.024373802651889702;242;4;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;Angualr_gyrus.nii;0.11517223549112175;-0.003071097;332;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;das_manuskript_in_der_flasche;PCC.nii;0.11509411887616709;-0.022000942;652;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;koenig_pest;Precuenus_cortex.nii;0.11506537488700494;0.010325771907122633;1413;17;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;vmpfc(frontal_medial_cortex)_R.nii;0.1147727177215726;0.018180962548742758;249;4;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;dmpc(frontal_medial_cortex).nii;0.1147727177215726;0.018180962548742758;249;4;0;0
