roi,mean_delta_beta,ci_lo_delta_beta,ci_hi_delta_beta,cohens_d_delta,mean_beta_shift_unique,ci_lo_shift,ci_hi_shift,cohens_d_shift,p_simes_unique_shift,mean_beta_drift_unique,ci_lo_drift,ci_hi_drift,cohens_d_drift,p_simes_unique_drift,p_simes_delta_beta,n_vox
19_Supramarginal_Gyrus_anterior_division_left.nii,0.010870224176914566,0.0005982143198080442,0.02423387152151593,0.4825942925237553,0.005835874678104356,-0.00450394472613121,0.014431169627461837,0.32256267543107303,0.0008057588070683492,-0.0050343494988102,-0.012014964171338438,0.002603309890824454,-0.35735389442058246,0.00718478778047733,0.016591635012271,401
19_Supramarginal_Gyrus_anterior_division_right.nii,-0.0017077794992589772,-0.01239702903564895,0.010527695426569976,-0.07801881620334072,0.0032105003210648876,-0.005261765824147983,0.010809695796299349,0.20495181675233953,0.03719848107249948,0.004918279820323864,-0.002801467383153861,0.013945479240689814,0.30521430729686566,0.008262027409399393,0.03484487117616356,360
1_Frontal_Pole_left.nii,0.0029240944357504586,-0.0013837275461700924,0.008405467180353985,0.3128580347577016,0.0020011291982380834,-0.002036872298768558,0.005280053694684559,0.28949414874161233,0.011142946431368778,-0.0009229652375123824,-0.005659535619521673,0.0024718593201468833,-0.11972431874626861,0.04639872999351511,0.0848866320503351,3052
1_Frontal_Pole_right.nii,0.0050781466417100275,-0.00012943521415929065,0.010041798243270153,0.5158927490210611,0.0028203166718901527,-0.0014165355923230916,0.007334129215435628,0.33442983776822255,0.09631817058104652,-0.002257829969819876,-0.008487326582773196,0.002059342249298763,-0.2256579127555131,0.002428626035651195,0.031185118797372235,3841
20_Right_Amygdala.nii,-0.0016133115789086737,-0.004757004998958822,0.0022863712834501095,-0.24259418645518693,-0.00015605009559532278,-0.0021873182722923516,0.0016498424982272775,-0.04281986119844105,0.0017140185694696224,0.001457261483313352,-0.002284516675954205,0.004449850446916755,0.2275408514634131,0.04952938953861483,0.18517071335193594,149
20_Supramarginal_Gyrus_posterior_division_left.nii,0.02341619974702825,0.013080468222685122,0.03549185208146881,1.0941066382828053,0.01983002472468503,0.013032784014587379,0.026025703223010312,1.615096458190698,6.75583937357143e-07,-0.0035861750223432206,-0.015007041877216718,0.0021318799000885538,-0.23843798781429812,0.005245305094283598,1.920143831113951e-06,433
20_Supramarginal_Gyrus_posterior_division_right.nii,0.025378156681447155,0.02040143303896006,0.03358038794669087,2.1041545996379067,0.02420229334699482,0.019678248187558835,0.03066220615538916,2.3301521566023213,1.4862448200758e-07,-0.0011758633344523253,-0.0065040472617465175,0.003252636825575988,-0.12481045365003302,0.013403046278701264,1.598796164285767e-05,725
21_Angular_Gyrus_left.nii,0.009955071512032924,-0.004516036510706521,0.026280972288853906,0.3347532217069578,0.00551729727101027,-0.0019331337595981843,0.011498179459818363,0.42853273296766614,0.07474898144118457,-0.004437774241022639,-0.021942673982239553,0.00711956511279606,-0.16443909673527293,0.021120291120895175,0.08214785557582911,396
21_Angular_Gyrus_right.nii,0.002838650871365078,-0.0034493495187040354,0.008813888971483832,0.2420286801573503,0.0012701255437796227,-0.003926020957660969,0.005749942527481294,0.13635681730084215,0.0005615302601833203,-0.0015685253275854575,-0.007530143391633608,0.0030320756748950695,-0.1554401302042278,0.005655854858637428,4.608544021313665e-05,577
21_Right_Accumbens.nii,0.0015701488671813837,-0.0076067466074008485,0.01027716326390889,0.09174842287595529,-0.0031833906416499514,-0.005613850961036345,-7.262200553521501e-05,-0.6026185996483477,0.018122810853146924,-0.004753539508831335,-0.010861014364523228,0.0026666556558817877,-0.36930346190222973,0.00981764358576878,0.04304476236188521,7
