roi,story,delta_beta,beta_shift_unique,beta_drift_unique
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,der_fall_stretelli,0.01446602131822001,0.0017226338252278493,-0.012743387492992154
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,der_katechismus_der_familie_musgrave,0.006591804122133339,0.010484611880540794,0.003892807758407459
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,die_maske_des_roten_todes,-0.025908532044628205,-0.005820614959373597,0.02008791708525459
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,die_pflanzen_des_dr,0.015514854714390855,0.014837530725729397,-0.0006773239886614649
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,die_schwarze_katze,0.020868942094811816,0.019412658985083365,-0.0014562831097284501
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,fuenf_apfelsinenkerne,0.006779210442797889,0.007887122774463294,0.0011079123316653997
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,koenig_pest,0.015032292671062843,0.022838051446136966,0.007805758775074155
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,lebendig_begraben,0.043279181680764736,0.017297125513215685,-0.02598205616754903
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,ligeia,0.00023393108727682083,0.0022035177725330543,0.0019695866852562347
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,maupassant_hand,0.013405407562569175,0.017991009498220193,0.004585601935651028
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,mord_in_sunningdale,0.02611791297518151,0.014460232150114615,-0.011657680825066897
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,das_manuskript_in_der_flasche,0.0034612802330613772,0.005527452486202076,0.0020661722531406953
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,der_blaue_karfunkel,0.004212926243926603,0.0005973888182275941,-0.00361553742569902
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,der_fall_stretelli,0.011486600138610843,0.001983789978154567,-0.00950281016045626
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,der_katechismus_der_familie_musgrave,-0.012688311256361592,-0.007943520039447973,0.004744791216913628
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,die_maske_des_roten_todes,-0.009416326226521573,-0.002454830300928733,0.006961495925592849
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,die_pflanzen_des_dr,0.0014399896352560715,0.007538210726052183,0.006098221090796104
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,die_schwarze_katze,0.01045349392215618,0.007592004499839854,-0.00286148942231632
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,fuenf_apfelsinenkerne,-0.0009216235719554008,0.0030890805979179045,0.004010704169873293
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,koenig_pest,-0.004343494270013832,0.003856075811152502,0.008199570081166329
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,lebendig_begraben,0.03687330765000069,0.0035919044639299703,-0.03328140318607067
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,ligeia,-0.01582192968179343,-0.012482234895764457,0.0033396947860289523
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,maupassant_hand,-0.010668036261913939,0.005670659685574235,0.016338695947488165
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,mord_in_sunningdale,0.016053449770711836,0.004133403417006105,-0.011920046353705712
